Вы|You|Ви
Ассистент|Assistant|Асистент
Инструкции разработчика|Developer instructions|Інструкції розробника
Системный контекст|System context|Системний контекст
Внедрённый контекст|Injected context|Доданий контекст
Неизвестная роль|Unknown role|Невідома роль
Время неизвестно|Unknown time|Час невідомий
Диалог|Conversation|Діалог
Обзор|Overview|Огляд
Главы|Chapters|Розділи
Таймлайн|Timeline|Хронологія
Граф тем|Topic graph|Граф тем
Поиск|Search|Пошук
Экспорт|Export|Експорт
Настройки|Settings|Налаштування
Справка|Help|Довідка
служебная ·|service ·|службова ·
сообщ.|messages|повід.
Нет сессий по этому фильтру.|No sessions match this filter.|Немає сесій за цим фільтром.
Все проекты|All projects|Усі проєкти
ИСТОЧНИК ДАННЫХ|DATA SOURCE|ДЖЕРЕЛО ДАНИХ
Подключите локальную папку с JSONL-сессиями Codex. Передача данных в сеть отключена.|Connect a local folder of Codex JSONL sessions. Network access is disabled.|Підключіть локальну папку JSONL-сесій Codex. Передавання даних у мережу вимкнено.
КОНТЕКСТ СЕССИИ|SESSION CONTEXT|КОНТЕКСТ СЕСІЇ
Источник|Source|Джерело
Модель|Model|Модель
Не указана|Not recorded|Не вказана
Рабочая папка|Working directory|Робоча папка
Начало|Started|Початок
Версия Codex|Codex version|Версія Codex
ОГЛАВЛЕНИЕ|OUTLINE|ЗМІСТ
Нет пользовательских ходов|No user turns|Немає ходів користувача
Все главы →|All chapters →|Усі розділи →
ТОКЕНЫ ИЗ ЖУРНАЛА|RECORDED TOKENS|ТОКЕНИ З ЖУРНАЛУ
Вход|Input|Вхід
Выход|Output|Вихід
Счётчик отсутствует в исходнике.|No token counter in the source.|У джерелі немає лічильника токенів.
Последний доступный накопительный счётчик. Это не стоимость и не размер контекста.|Last recorded cumulative count. This is neither a price nor the context size.|Останній записаний накопичувальний лічильник. Це не вартість і не розмір контексту.
Путь исходного файла|Source file path|Шлях до вихідного файлу
Копировать путь файла|Copy file path|Копіювати шлях до файлу
Копировать путь папки|Copy folder path|Копіювати шлях до папки
Показать исходник|Show source in Explorer|Показати джерело в Провіднику
строк ·|lines ·|рядків ·
повреждённых строк|malformed lines|пошкоджених рядків
записей сокращено в индексе|records truncated in the index|записів скорочено в індексі
строк больше 8 МБ пропущено|lines over 8 MB skipped|рядків понад 8 МБ пропущено
записей за пределами лимита индекса|records omitted by index limits|записів поза межами ліміту індексу
неизвестных событий|unknown events|невідомих подій
Исходный файл недоступен|Source file unavailable|Вихідний файл недоступний
Оригинал не изменяется.|The original is never modified.|Оригінал не змінюється.
СЛУЖЕБНАЯ СЕССИЯ|SERVICE SESSION|СЛУЖБОВА СЕСІЯ
Назад:|Back:|Назад:
Показать|Show|Показати
Скрыть|Hide|Приховати
левую панель · Ctrl+B|left panel · Ctrl+B|ліву панель · Ctrl+B
правую панель · Ctrl+Shift+B|right panel · Ctrl+Shift+B|праву панель · Ctrl+Shift+B
Источники подключены|Sources connected|Джерела підключено
Выберите источники в настройках или добавьте JSONL|Choose sources in settings or add JSONL files|Виберіть джерела в налаштуваннях або додайте JSONL
Назад|Back|Назад
Далее →|Next →|Далі →
Показать оставшиеся|Show remaining|Показати решту
символов|characters|символів
Текст сокращён в индексе до 200 000 символов. Полная запись доступна в исходном JSONL.|Text is limited to 200,000 characters in the index. The full record remains in the original JSONL.|Текст в індексі обмежено 200 000 символами. Повний запис є у вихідному JSONL.
Доступное резюме рассуждения|Available reasoning summary|Доступний підсумок міркування
Запись сокращена. См. исходник.|Record truncated. See the source.|Запис скорочено. Дивіться джерело.
Контекст|Context|Контекст
Фильтр записей|Record filter|Фільтр записів
Простой диалог|Conversation|Простий діалог
Все записи|All records|Усі записи
Инструменты|Tools|Інструменти
записей · исходный порядок|records · source order|записів · вихідний порядок
В этом представлении нет сообщений|No messages in this view|У цьому поданні немає повідомлень
Выберите «Все записи», чтобы увидеть технические события.|Choose “All records” to see technical events.|Виберіть «Усі записи», щоб побачити технічні події.
Вся сессия. Один взгляд.|The session at a glance|Сесія одним поглядом
Факты из локального журнала — от первого сообщения до последнего события.|Facts from the local log, from the first message to the last event.|Факти з локального журналу — від першого повідомлення до останньої події.
Сообщения|Messages|Повідомлення
пользователь + ассистент|user + assistant|користувач + асистент
Вызовы инструментов|Tool calls|Виклики інструментів
без повторов событий|normalized events|нормалізовані події
по пользовательским ходам|based on user turns|за ходами користувача
Активные дни|Active days|Активні дні
по времени UTC|in UTC|за часом UTC
ВЫЗОВЫ|CALLS|ВИКЛИКИ
Вызовы отсутствуют|No tool calls|Немає викликів
Активность|Activity|Активність
событий|events|подій
Каждая ячейка — день с событиями.|Each cell is a day with recorded events.|Кожна клітинка — день із подіями.
Открыть таймлайн →|Open timeline →|Відкрити хронологію →
Последние главы|Recent chapters|Останні розділи
ПО ХОДАМ|BY TURN|ЗА ХОДАМИ
Связь с родителем из метаданных:|Parent session from metadata:|Батьківська сесія з метаданих:
Пропущено повреждённых JSONL-строк:|Malformed JSONL lines skipped:|Пропущено пошкоджених рядків JSONL:
Исходный файл сохранён без изменений.|The source file remains unchanged.|Вихідний файл залишився без змін.
Связи в вашей истории|Keywords in your history|Ключові слова у вашій історії
Эвристический граф ключевых слов из пользовательских сообщений. Размер узла отражает число сообщений с этим словом. Нажмите узел, чтобы найти его в сессии.|A frequency graph of words in user messages. Node size shows how many messages contain a word. Select a node to search this session.|Частотний граф слів у повідомленнях користувача. Розмір вузла показує кількість повідомлень зі словом. Натисніть вузол для пошуку в сесії.
Граф ключевых слов|Keyword graph|Граф ключових слів
СЕССИЯ|SESSION|СЕСІЯ
ходов|turns|ходів
сообщений|messages|повідомлень
Недостаточно текста|Not enough text|Недостатньо тексту
